Treatment,Time (hours),Acetate,Butyrate,Hexanoate
mCasein,48,4.075,4.03,5.35
mCasein,49,5.364961,4.0893425,4.8305
mCasein,50,6.07623064,4.056008275,4.399315
mCasein,51,6.417619807,3.962270068,4.04143145
mCasein,52,6.525318901,3.831610717,3.744388104
mCasein,53,6.488531871,3.680878143,3.497842126
mCasein,54,6.365807784,3.521941857,3.293208965
mCasein,55,6.074312202,3.35361214,3.013363441
mCasein,56,5.783665234,3.175418395,2.781091656
mCasein,57,5.498864983,2.996733523,2.588306074
mCasein,58,5.22482492,2.823797828,2.428294042
mCasein,59,4.965535785,2.660559401,2.295484055
mCasein,60,4.723813267,2.509310065,2.185251765
mCasein,61,4.501336811,2.371163964,2.093758965
mCasein,62,4.29881553,2.246415379,2.017819941
mCasein,63,4.11619328,2.134804195,1.954790551
mCasein,64,3.952848615,2.035711026,1.902476157
mCasein,65,3.807769824,1.948298987,1.859055211
mCasein,66,3.679698474,1.871615228,1.823015825
mCasein,67,3.567241685,1.804662294,1.793103135
mCasein,68,3.468956485,1.746447028,1.768275602
mCasein,69,3.383410709,1.696012892,1.747668749
mCasein,70,3.309225023,1.652460187,1.730565062
mCasein,71,3.245100206,1.614957545,1.716369001
mCasein,72,3.18983328,1.582747234,1.704586271
mCasein,73,2.899885378,1.536446182,1.474806605
mCasein,74,2.663458107,1.463663113,1.284089482
mCasein,75,2.457436309,1.375770609,1.12579427
mCasein,76,2.270574326,1.280833786,0.994409244
mCasein,77,2.097886932,1.184447387,0.885359673
mCasein,78,1.937493324,1.090375607,0.794848528
mCasein,79,1.788892572,1.001039174,0.719724279
mCasein,80,1.652062306,0.917884451,0.657371151
mCasein,81,1.527021308,0.841661643,0.605618056
mCasein,82,1.413645856,0.772633203,0.562662986
mCasein,83,1.311618598,0.71072879,0.527010278
mCasein,84,1.220441448,0.655659481,0.497418531
mCasein,85,1.139474839,0.607001037,0.472857381
mCasein,86,1.067983584,0.564253795,0.452471626
mCasein,87,1.005179706,0.526884998,0.43555145
mCasein,88,0.950258254,0.494358026,0.421507703
mCasein,89,0.902425052,0.466151944,0.409851394
mCasein,90,0.860916843,0.44177394,0.400176657
mCasein,91,0.825014867,0.420766631,0.392146625
mCasein,92,0.794053145,0.402711712,0.385481699
mCasein,93,0.767422649,0.387231048,0.37994981
mCasein,94,0.744572424,0.373986031,0.375358342
mCasein,95,0.725008538,0.362675815,0.371547424
mCasein,96,0.708291544,0.353034854,0.368384362
Casein,48,4.3,4.1,5.1
Casein,48,3.9,3.8,4.8
Casein,48,4.1,4,6
Casein,48,4,4.2,5.5
Casein,54,6.4,3.5,3.4
Casein,54,6.2,3.2,3
Casein,54,6.6,3.8,3.6
Casein,54,5.8,3.4,3.1
Casein,72,7.5,2.1,1.5
Casein,72,7.9,1.6,1.9
Casein,72,8.1,1.9,2.1
Casein,72,7.3,2,1.2
Casein,96,9,0.1,0.5
Casein,96,9.7,0.3,0.3
Casein,96,10.1,0.2,0.1
Casein,96,8.9,0.1,0.5
