Treatment,Time (hours),Acetate,Butyrate,Hexanoate
Hexanoate,0,0.5,0,4.2
Hexanoate,0,0.3,0,4.1
Hexanoate,0,0.6,0,3.9
Hexanoate,3,2.1,0,3.6
Hexanoate,3,2.4,0,3.2
Hexanoate,3,2.7,0,3.5
Hexanoate,6,1.2,0,1.3
Hexanoate,6,1.5,0,1.1
Hexanoate,6,1.3,0,1.6
Hexanoate,24,0.2,0,0
Hexanoate,24,0.6,0,0
Hexanoate,24,0.1,0,0
Hexanoate,30,0,0,0
Hexanoate,30,0,0,0
Hexanoate,30,0,0,0
mHexanoate,0,0.466666667,0,4.066666667
mHexanoate,1,1.437806667,0.63257,3.375333333
mHexanoate,2,2.214624667,0.5250331,2.801526667
mHexanoate,3,2.215999173,0.435777473,2.325267133
mHexanoate,4,1.979087772,0.361695303,1.929971721
mHexanoate,5,1.694371981,0.300207101,1.601876528
mHexanoate,6,1.425468522,0.249171894,1.329557518
mHexanoate,7,1.190220591,0.206812672,1.10353274
mHexanoate,8,0.990503326,0.171654518,0.915932174
mHexanoate,9,0.823087248,0.14247325,0.760223705
mHexanoate,10,0.683521126,0.118252797,0.630985675
mHexanoate,11,0.567455257,0.098149822,0.52371811
mHexanoate,12,0.471036971,0.081464352,0.434686031
mHexanoate,13,0.390978856,0.067615412,0.360789406
mHexanoate,14,0.324519173,0.056120792,0.299455207
mHexanoate,15,0.269353401,0.046580257,0.248547822
mHexanoate,16,0.223564243,0.038661614,0.206294692
mHexanoate,17,0.185558662,0.032089139,0.171224594
mHexanoate,18,0.154013816,0.026633986,0.142116413
mHexanoate,19,0.127831514,0.022106208,0.117956623
mHexanoate,20,0.106100174,0.018348153,0.097903997
mHexanoate,21,0.088063151,0.015228967,0.081260318
mHexanoate,22,0.073092417,0.012640042,0.067446064
mHexanoate,23,0.060666707,0.010491235,0.055980233
mHexanoate,24,0.050353367,0.008707725,0.046463593
mHexanoate,25,0.041793295,0.007227412,0.038564782
mHexanoate,26,0.034688435,0.005998752,0.032008769
mHexanoate,27,0.028791401,0.004978964,0.026567279
mHexanoate,28,0.023896863,0.00413254,0.022050841
mHexanoate,29,0.019834396,0.003430008,0.018302198
mHexanoate,30,0.016462549,0.002846907,0.015190825
