Sample - Replicate,Time (hours),ph
Hexanoate - 1,0,7.85
Hexanoate - 2,0,7.85
Hexanoate - 3,0,7.85
Hexanoate - 1,3,7.75
Hexanoate - 2,3,7.79
Hexanoate - 3,3,7.8
Hexanoate - 1,6,7.71
Hexanoate - 2,6,7.78
Hexanoate - 3,6,7.76
Hexanoate - 1,24,7.92
Hexanoate - 2,24,7.84
Hexanoate - 3,24,7.92
Hexanoate - 1,48,7.92
Hexanoate - 2,48,7.85
Hexanoate - 3,48,7.93
Hexanoate - 1,48.1,7.05
Hexanoate - 2,48.1,7.02
Hexanoate - 3,48.1,7.01
Hexanoate - 1,51,7.63
Hexanoate - 2,51,7.57
Hexanoate - 3,51,7.59
Hexanoate - 1,54,7.39
Hexanoate - 2,54,7.42
Hexanoate - 3,54,7.4
Hexanoate - 1,72,7.79
Hexanoate - 2,72,7.8
Hexanoate - 3,72,7.81
Hexanoate - 1,78,7.28
Hexanoate - 2,78,7.3
Hexanoate - 3,78,7.29
