Sample-Replicate,VFA,K-value
Hexanoate - 1,Hexanoate,0.83
Hexanoate - 1,Butyrate,0
Hexanoate - 1,Acetate,0.3
Hexanoate - 2,Hexanoate,0.83
Hexanoate - 2,Butyrate,0
Hexanoate - 2,Acetate,0.4
Hexanoate - 3,Hexanoate,0.83
Hexanoate - 3,Butyrate,0
Hexanoate - 3,Acetate,0.38
Casein - 1,Hexanoate,0.83
Casein - 1,Butyrate,0.8
Casein - 1,Acetate,0.62
Casein - 2,Hexanoate,0.83
Casein - 2,Butyrate,0.81
Casein - 2,Acetate,0.62
Casein - 3,Hexanoate,0.83
Casein - 3,Butyrate,0.81
Casein - 3,Acetate,0.61
Casein - 4,Hexanoate,0.83
Casein - 4,Butyrate,0.79
Casein - 4,Acetate,0.56
Keratin - 1,Hexanoate,0.83
Keratin - 1,Butyrate,0
Keratin - 1,Acetate,0.69
Keratin - 2,Hexanoate,0.83
Keratin - 2,Butyrate,0
Keratin - 2,Acetate,0.7
Keratin - 3,Hexanoate,0.83
Keratin - 3,Butyrate,0
Keratin - 3,Acetate,0.68
Keratin - 4,Hexanoate,0.83
Keratin - 4,Butyrate,0
Keratin - 4,Acetate,0.69
