Treatment,Time (hours),Acetate,Butyrate,Hexanoate
mKeratin,54,2.18,0.25,0.35
mKeratin,55,2.155585,0.0756925,0.5405
mKeratin,56,2.0236957,0.105324775,0.698615
mKeratin,57,2.011513935,0.129919563,0.82985045
mKeratin,58,2.068530653,0.150333237,0.938775874
mKeratin,59,2.162172562,0.167276587,1.029183975
mKeratin,60,2.27185479,0.181339567,1.104222699
mKeratin,61,2.384943054,0.193011841,1.16650484
mKeratin,62,2.494022204,0.202699828,1.218199018
mKeratin,63,2.595056863,0.210740857,1.261105185
mKeratin,64,2.686159916,0.217414911,1.296717303
mKeratin,65,2.766774006,0.222954377,1.326275362
mKeratin,66,2.837132706,0.227552133,1.35080855
mKeratin,67,2.897910239,0.23136827,1.371171097
mKeratin,68,2.949997663,0.234535664,1.38807201
mKeratin,69,2.994363254,0.237164601,1.402099768
mKeratin,70,3.031968485,0.239346619,1.413742808
mKeratin,71,3.063720261,0.241157694,1.42340653
mKeratin,72,3.090446445,0.242660886,1.43142742
mKeratin,73,3.475586004,0.270258535,1.748084759
mKeratin,74,3.867442046,0.319514584,2.01091035
mKeratin,75,4.268843806,0.360397105,2.22905559
mKeratin,76,4.654558525,0.394329597,2.41011614
mKeratin,77,5.010962111,0.422493566,2.560396396
mKeratin,78,5.331796741,0.445869659,2.685129009
mKeratin,79,5.615353045,0.465271817,2.788657077
mKeratin,80,5.862616635,0.481375608,2.874585374
mKeratin,81,6.076064597,0.494741755,2.945905861
mKeratin,82,6.25889764,0.505835657,3.005101864
mKeratin,83,6.414562218,0.515043595,3.054234547
mKeratin,84,6.546463893,0.522686184,3.095014674
mKeratin,85,6.657805335,0.529029533,3.12886218
mKeratin,86,6.751504238,0.534294512,3.156955609
mKeratin,87,6.830161326,0.538664445,3.180273156
mKeratin,88,6.896058739,0.542291489,3.199626719
mKeratin,89,6.951175891,0.545301936,3.215690177
mKeratin,90,6.997214515,0.547800607,3.229022847
mKeratin,91,7.03562763,0.549874504,3.240088963
mKeratin,92,7.067649245,0.551595838,3.249273839
mKeratin,93,7.094322909,0.553024546,3.256897287
mKeratin,94,7.116528098,0.554210373,3.263224748
mKeratin,95,7.13500398,0.55519461,3.268476541
mKeratin,96,7.150370407,0.556011526,3.272835529
Keratin,54,2.1,0.3,0.4
Keratin,54,2.4,0.4,0.2
Keratin,54,1.7,0.2,0.5
Keratin,54,2.5,0.1,0.3
Keratin,72,5,3,1.4
Keratin,72,5.6,4.2,1.6
Keratin,72,4.7,4,1.2
Keratin,72,5.2,2,1.5
Keratin,96,7.1,0.2,3.1
Keratin,96,7.3,0.4,3.5
Keratin,96,6.9,0.3,3.2
Keratin,96,7,0.1,3.3
